Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_219; Scie circulaire Festool TS75 EBQ + FS; ; ; ; 1; 2012-03-29; 947; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; SCIECIR004; 
BRICO_O_220; Adaptateur scie sauteuse 2 lames; ; ; ; 1; 2012-07-30; 65; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; SCIESAUT2LAMES; 
BRICO_O_221; protection de chantier, anti poussieres; ; ; ; 1; 2012-03-29; 375; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ZIPWALL001; 
BRICO_O_222; protection de chantier, anti poussieres; ; ; ; 1; 2012-03-29; 375; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ZIPWALL002; 
BRICO_O_223; Kit de d?®m?®nagement avec un plateau roulant et 5 bacs plastiques empilables; ; ; ; 1; 2012-04-30; 305; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DEMEN0001; 
BRICO_O_224; Fraiseuse ?ï¿½ lamelles BOSCH GFF 22 A Professional; 01000013; GFF 22 A; BOSCH; 1; 0000-00-00; 476.69; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; FRAISELAME1; 
BRICO_O_225; Carrelette manuelle 40 cm RUBI TS-40; NA; TS-40; RUBI; 1; 0000-00-00; 202; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CARREL002; 
BRICO_O_226; Rainureus a beton BOSCH GNF 65A Professional rainure : profondeur 20-65 mm largeur 3-40 mm; ; ; ; 1; 0000-00-00; 1190; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; RAINUR002; 
BRICO_O_227; Aspirateur eau et poussiere ATTIX 30.21 XC complet; ; ; ; 1; 2012-03-29; 595; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ASPIRA006; 
BRICO_O_228; Pistolet a peinture airless, wagner Finish R250; ; ; ; 1; 0000-00-00; 2333; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; AIRLESS1; 
